,word,expected_information,expected_nb_words
2535,gænge,4.144663174527699,463.3199709587685
625,bifag,4.142697663099669,463.95162303398905
1036,bønne,4.140852227749725,464.54547033928503
7059,tjent,4.140839319711067,464.54962672545446
4660,nippe,4.140583471462126,464.63201749039797
2557,gønge,4.140097931833017,464.7884159098386
1570,elegi,4.14003900123193,464.8074017795977
6189,skæls,4.140012909679161,464.81580803051907
8152,ølbod,4.13991709302725,464.84667981715273
970,byrum,4.1393576626019355,465.0269672613501
2191,gaffe,4.139152681037827,465.0930440998408
457,barak,4.138886307262884,465.17892505472753
1815,fifle,4.138854290540816,465.1892485598309
2749,hjord,4.136862358373767,465.83197997088473
6144,skræk,4.136751923730384,465.8676395913381
3278,karma,4.136697059228266,465.885356490188
7010,theta,4.135845958831843,466.16028097736074
8130,øgene,4.13581135417761,466.1714624872076
8183,østat,4.13374504985292,466.8396163391855
4474,mulms,4.1336112882479545,466.8829020714526
3257,kanon,4.133366960256531,466.9619778417292
5981,shias,4.13279898518821,467.14585244337246
2886,hyrer,4.132753771879163,467.160492779802
2553,gøgen,4.132632290424862,467.19983146460595
1658,etaet,4.131514905034043,467.56182375529255
578,berør,4.130277793147689,467.9629302571687
2551,gøede,4.130270075132754,467.9654337346491
7463,udtøm,4.129927376056227,468.07660786800614
6733,svejs,4.129015662621259,468.3725031137215
3031,indgå,4.127924830580968,468.7267768312523
5448,pølle,4.127790446693312,468.7704397388549
5613,riffs,4.127222969016647,468.9548647750588
5761,råber,4.1268006857451605,469.0921500460869
3888,lemma,4.12662785868705,469.14834811300574
4388,mirin,4.125937534245159,469.37288764407555
1778,fejer,4.124615369168721,469.803243942428
2770,hopla,4.124474325648367,469.8491759936776
4003,loops,4.124206596175549,469.9363767820471
7923,væver,4.124001654994299,470.0031380547662
7403,udkom,4.123986625628973,470.00803436719536
5815,rømme,4.123388698775612,470.20287018615744
6299,smigs,4.123085972099543,470.3015451543144
5766,råbuk,4.122756197213352,470.40906016014117
6304,smisk,4.122732652218985,470.41673736754655
283,antag,4.1223318285279325,470.54745131822267
1694,facon,4.122012220913738,470.6517056503181
1137,cruer,4.121626776773873,470.77746623899407
6567,stift,4.1215091032546605,470.81586680112395
2394,gomme,4.121235422810346,470.90518943307757
3792,laban,4.121036410388223,470.97015288259485
3123,jakke,4.120122914413952,471.2684595676959
6307,smuds,4.1199101273680485,471.33797337077493
7971,yvere,4.119151732964373,471.58581095404406
371,asyls,4.118933496427855,471.6571531543552
5542,reber,4.116209624628556,472.5485038296188
5732,rushs,4.116180144266562,472.5581600929957
4463,mukke,4.114603901831622,473.0747441669173
3695,kvæld,4.113992539042728,473.27525888141935
4868,omlæg,4.113955470768683,473.28741926312097
5194,pjæks,4.113665173725906,473.38266306609734
3532,konto,4.1134188842828285,473.46348340682044
5140,pigge,4.113394704694443,473.47141872769987
7262,tykts,4.112892152368827,473.6363777826081
8160,ømmer,4.112712653305301,473.6953109410152
1014,bæsts,4.11134735333186,474.1438064957253
4260,march,4.111329100018225,474.14980551153496
640,bilkø,4.111097658054254,474.2258763108696
2555,gøgle,4.110433185841354,474.4443441684918
8162,ømmet,4.110057745803329,474.5678273557403
3643,kumme,4.109846401339801,474.63735322698255
1044,bøsts,4.1098054466419,474.6508272494016
7954,ynken,4.109748013800379,474.66972319593697
3355,kippe,4.109427402057237,474.7752213049598
2840,hvalp,4.109424231612716,474.77626466485947
4545,måtte,4.108893925236027,474.95081517851986
4694,noppe,4.108174789456058,475.1876214723678
6158,skulk,4.107160074163473,475.52196084585773
1780,fejet,4.106588441478749,475.7104121445189
1396,dumme,4.10626916057356,475.8157026284345
2001,forgå,4.1059733730141135,475.91326641705365
3360,kitin,4.105534424234419,476.058087966045
4693,noobs,4.105032588924255,476.2237115433976
3738,kækts,4.1049962891294385,476.23569400677707
2654,hedge,4.104919108708617,476.26117205544733
7925,vævet,4.104906705673986,476.26526655153646
6090,skibs,4.1047094699904365,476.3303828264363
1576,ellen,4.104340524203435,476.4522121501902
6404,sojas,4.103795014038142,476.63240176904486
3456,knirk,4.102932950659492,476.9172922771579
439,banal,4.102634844433214,477.01584859005607
899,bukke,4.102510585783565,477.0569355115419
1882,fjums,4.102454368371987,477.0755253228755
7311,tæmme,4.101654386979114,477.3401393721441
5179,pisks,4.100122817053282,477.8471543523544
7341,tømme,4.100041710164327,477.87401920212426
2509,gynge,4.099091676628724,478.1888091232397
7674,vappe,4.098097342233447,478.51850005552654
1809,ficus,4.09742125109041,478.7428010536807
6691,sumos,4.097405659363438,478.74797502819933
4451,motor,4.097120631788609,478.84256872324255
1188,datid,4.0968171618991285,478.94330351593436
902,bulbs,4.096106802691054,479.1791853549205
6544,stats,4.095314488578853,479.4424181879624
1444,dynds,4.0944177325551685,479.74052452007555
1973,fokke,4.093699649515873,479.9793686777179
1463,dåden,4.093488526674254,480.0496136153769
2301,gibbe,4.093311354998411,480.10857023111055
3712,kyskt,4.092553864672789,480.3607185219666
2685,henna,4.091439562105253,480.7318807799102
3023,imams,4.090172302857205,481.15433982208583
8020,ånden,4.090166012871619,481.1564376046204
5656,robot,4.089567822316552,481.35598283575894
6042,sjaks,4.089515871450696,481.3733165824161
4752,nåden,4.089266764058589,481.45644156819
5433,påtog,4.08837024207189,481.75572202256586
6175,skyls,4.087638479242101,482.0001398245208
2431,grill,4.086874776439947,482.2553582136387
644,bilæg,4.086432904677254,482.4030870517482
997,båtte,4.086335598570649,482.4356250087925
5207,plapr,4.085869034496201,482.591668749654
3625,kudus,4.08458662205036,483.0208354746524
2284,genne,4.084313087775686,483.11242467135406
4793,nøkke,4.082938402039642,483.5729823436466
7902,vænne,4.082226434961154,483.8116835247119
